listing_id,brand,model,year,price_inr,predicted_fair_value,value_gap_pct,risk_score,DII,explanation,recommendation
DW-009459,Skoda,Kushaq,2023,1027000,1252446,-18.0,21.5,76.2,"low annual usage (6,779 km/yr); priced 18% below fair value (acquisition opportunity); low operational risk profile; high composite DII score (76.2/100)","STRONG_BUY - High profit potential, low capital risk"
DW-000519,Maruti Suzuki,Baleno,2018,395000,352954,11.9,22.7,76.1,"low annual usage (4,806 km/yr); priced 12% above fair value (overpriced asking); low operational risk profile; high composite DII score (76.1/100)","ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-000024,Maruti Suzuki,Suzuki Dzire,2018,405000,336638,20.3,33.9,76.0,"low annual usage (4,560 km/yr); priced 20% above fair value (overpriced asking); high composite DII score (76.0/100)","ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-009321,MG,Hector,2020,1000000,1161713,-13.9,38.3,75.9,"low annual usage (4,286 km/yr); priced 14% below fair value (acquisition opportunity); high composite DII score (75.9/100)","STRONG_BUY - High profit potential, low capital risk"
DW-002630,Toyota,Innova Crysta,2018,1325000,1603202,-17.4,33.7,75.7,"low annual usage (6,889 km/yr); priced 17% below fair value (acquisition opportunity); high composite DII score (75.7/100)","STRONG_BUY - High profit potential, low capital risk"
DW-007659,Kia,Seltos,2023,1028915,1016941,1.2,24.7,75.7,"low annual usage (6,608 km/yr); low operational risk profile; high composite DII score (75.7/100)","ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-004025,Ford,Endeavour,2017,1900000,1824751,4.1,26.2,75.6,"aging vehicle (10 yrs old, higher depreciation); high composite DII score (75.6/100)","ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-002819,MG,Hector,2022,1253213,1144426,9.5,14.4,75.5,"low annual usage (6,196 km/yr); low operational risk profile; high composite DII score (75.5/100)","ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-003943,Kia,Seltos,2023,1020000,1072573,-4.9,19.9,75.3,low operational risk profile; high composite DII score (75.3/100),"STRONG_BUY - High profit potential, low capital risk"
DW-005975,Hyundai,Grand i10 Nios,2020,475000,433095,9.7,8.6,75.0,low operational risk profile; high composite DII score (75.0/100),"ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-007958,Kia,Carens,2022,1007000,1077946,-6.6,20.4,74.9,"low annual usage (5,942 km/yr); low operational risk profile; high composite DII score (74.9/100)","STRONG_BUY - High profit potential, low capital risk"
DW-002408,Ford,Endeavour,2020,2300000,2404634,-4.4,92.1,16.3,"high annual usage (24,571 km/yr); elevated purchase risk profile; low composite DII score (16.3/100)",REJECT - Unfavorable risk-adjusted return
DW-002361,Volkswagen,Polo,2018,695000,597865,16.2,74.1,16.1,"low annual usage (6,778 km/yr); priced 16% above fair value (overpriced asking); low composite DII score (16.1/100)",REJECT - Unfavorable risk-adjusted return
DW-000107,Hyundai,Verna,2021,1077000,1041865,3.4,64.1,16.0,"low annual usage (5,042 km/yr); low composite DII score (16.0/100)",REJECT - Unfavorable risk-adjusted return
DW-003888,Mahindra,XUV500,2019,690000,918407,-24.9,78.7,16.0,"high annual usage (20,000 km/yr); priced 25% below fair value (acquisition opportunity); elevated purchase risk profile; low composite DII score (16.0/100)",REJECT - Unfavorable risk-adjusted return
DW-007594,Tata,Nexon,2025,980000,621074,57.8,93.3,15.5,"relatively new (2 yrs old); high annual usage (21,750 km/yr); priced 58% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (15.5/100)",REJECT - Unfavorable risk-adjusted return
DW-005013,Volkswagen,Vento,2017,691000,577315,19.7,72.4,14.9,"aging vehicle (10 yrs old, higher depreciation); low annual usage (6,500 km/yr); priced 20% above fair value (overpriced asking); low composite DII score (14.9/100)",REJECT - Unfavorable risk-adjusted return
DW-001340,Volkswagen,Vento,2018,650000,574230,13.2,82.5,14.3,priced 13% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (14.3/100),REJECT - Unfavorable risk-adjusted return
DW-006559,Volkswagen,Polo,2020,749000,609561,22.9,84.1,13.9,priced 23% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (13.9/100),REJECT - Unfavorable risk-adjusted return
DW-008769,Tata,Safari,2024,2200000,1652208,33.2,84.5,13.7,relatively new (3 yrs old); priced 33% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (13.7/100),REJECT - Unfavorable risk-adjusted return
DW-000432,Tata,Nexon,2023,1200000,888819,35.0,71.1,13.3,"low annual usage (5,000 km/yr); priced 35% above fair value (overpriced asking); low composite DII score (13.3/100)",REJECT - Unfavorable risk-adjusted return
DW-007221,Toyota,Innova,2012,650000,559273,16.2,83.5,13.0,"aging vehicle (15 yrs old, higher depreciation); priced 16% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (13.0/100)",REJECT - Unfavorable risk-adjusted return
DW-002031,Volkswagen,Vento,2021,783000,887211,-11.7,82.3,12.1,priced 12% below fair value (acquisition opportunity); elevated purchase risk profile; low composite DII score (12.1/100),REJECT - Unfavorable risk-adjusted return
DW-009811,Mahindra,Bolero,2022,650000,1081545,-39.9,70.7,12.0,priced 40% below fair value (acquisition opportunity); low composite DII score (12.0/100),REJECT - Unfavorable risk-adjusted return
DW-001473,MG,Hector,2023,1750000,1489214,17.5,72.1,11.9,priced 18% above fair value (overpriced asking); low composite DII score (11.9/100),REJECT - Unfavorable risk-adjusted return
DW-006569,Volkswagen,Vento,2018,745000,770590,-3.3,88.1,11.6,elevated purchase risk profile; low composite DII score (11.6/100),REJECT - Unfavorable risk-adjusted return
DW-009247,Toyota,Innova,2015,650000,613286,6.0,91.0,11.6,"aging vehicle (12 yrs old, higher depreciation); high annual usage (18,333 km/yr); elevated purchase risk profile; low composite DII score (11.6/100)",REJECT - Unfavorable risk-adjusted return
DW-010071,Ford,Endeavour,2018,1675000,1940060,-13.7,96.1,11.5,"high annual usage (27,889 km/yr); priced 14% below fair value (acquisition opportunity); elevated purchase risk profile; low composite DII score (11.5/100)",REJECT - Unfavorable risk-adjusted return
DW-007033,Toyota,Fortuner,2015,1040000,1379834,-24.6,92.3,11.4,"aging vehicle (12 yrs old, higher depreciation); priced 25% below fair value (acquisition opportunity); elevated purchase risk profile; low composite DII score (11.4/100)",REJECT - Unfavorable risk-adjusted return
DW-007776,Audi,A6,2021,2750000,2908573,-5.5,80.4,11.3,elevated purchase risk profile; low composite DII score (11.3/100),REJECT - Unfavorable risk-adjusted return
DW-005251,Toyota,Innova Crysta,2021,1840000,1735158,6.0,95.2,10.7,"high annual usage (29,833 km/yr); elevated purchase risk profile; low composite DII score (10.7/100)",REJECT - Unfavorable risk-adjusted return
DW-006463,Hyundai,Creta,2022,1485000,1453766,2.1,78.2,10.5,elevated purchase risk profile; low composite DII score (10.5/100),REJECT - Unfavorable risk-adjusted return
DW-004327,Skoda,Octavia,2018,1190000,1368681,-13.1,88.5,10.1,"high annual usage (21,889 km/yr); priced 13% below fair value (acquisition opportunity); elevated purchase risk profile; low composite DII score (10.1/100)",REJECT - Unfavorable risk-adjusted return
DW-007629,Toyota,Corolla Altis,2017,1100000,711868,54.5,90.7,10.0,"aging vehicle (10 yrs old, higher depreciation); priced 55% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (10.0/100)",REJECT - Unfavorable risk-adjusted return
DW-009776,Mahindra,Scorpio,2022,1400000,1258824,11.2,76.4,8.2,priced 11% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (8.2/100),REJECT - Unfavorable risk-adjusted return
DW-001618,Toyota,Fortuner,2022,3800000,2873421,32.2,94.1,6.6,"high annual usage (24,024 km/yr); priced 32% above fair value (overpriced asking); elevated purchase risk profile; low composite DII score (6.6/100)",REJECT - Unfavorable risk-adjusted return
